LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST_MIN,INDICATIVE_COST_MAX
042d0c720f8891053b65fedb3f1ee064333784bd8aa2498ae0f6fa2eaa6ac01d,1,Insulate hot water cylinder with 80 mm jacket,Insulate hot water cylinder with 80 mm jacket,1,Insulate hot water cylinder with 80 mm jacket,£15,£30
019bdacba5ab19dee0cd6c95df05f628af5b040f156b8de08fa449c84e93c779,2,Increase hot water cylinder insulation,Increase hot water cylinder insulation,2,Increase hot water cylinder insulation,£15,£30
0123d326575f76cacdfb168dee3a63a04fbfde67543b21fec4bf329c0fb5eead,2,Add additional 80 mm jacket to hot water cylinder,Add additional 80 mm jacket to hot water cylinder,3,Add additional 80 mm jacket to hot water cylinder,£15,£30
008c229e34639e4a1640d87b2f3a563d77195c0a5c8be35899d98aacc035f75c,1,Hot water cylinder thermostat,Hot water cylinder thermostat,4,Hot water cylinder thermostat,£200,£400
00ce217d540a407b0b13c6a6f7abf9881cdd29de0d1a9204a152dee2488ca5aa,1,Increase loft insulation to 270 mm,Increase loft insulation to 270 mm,5,Increase loft insulation to 270 mm,£100,£350
009e94642218aa6162ac05450e69c04dfb230e60d61d6138fcd116293be54da4,1,Cavity wall insulation,Cavity wall insulation,6,Cavity wall insulation,£500,"£1,500"
0023cfbdd02c180965bf643855f430022eed290bfdf1fec6d9a585eae2555517,1,Internal or external wall insulation,Internal or external wall insulation,7,50 mm internal or external wall insulation,"£4,000","£14,000"
017e8d8061506653eec3a58d6a01bdd4d68265fd7117d5c5213f3d4b4ff05f17,5,Replace single glazed windows with low-E double glazed windows,Double glazed windows,8,Replace single glazed windows with low-E double glazing,"£3,300","£6,500"
310e16e4ee612884e6f89826310c096a4db0ffc3d80150bedea1ed87001f66bb,4,Secondary glazing to single glazed windows,Secondary glazing to single glazed windows,9,Secondary glazing to single glazed windows,"£1,000","£1,500"
024b927ab9751f5341f5ee591aec0f7d5c8242f1e1192808ae4a6af8b21e9a7f,5,Draught proofing,Draught proofing,10,Draughtproof single-glazed windows,£80,£120
008c229e34639e4a1640d87b2f3a563d77195c0a5c8be35899d98aacc035f75c,2,"Heating controls (programmer, room thermostat and TRVs)","Heating controls (programmer, thermostat, TRVs)",11,Upgrade heating controls,£350,£450
0728e07b9edba0559cb06f5d176be0115cfc32bcd6a20f9030e30e55463f7d27,5,Heating controls (room thermostat and TRVs),Heating controls (room thermostat and TRVs),12,Upgrade heating controls,£350,£450
019bdacba5ab19dee0cd6c95df05f628af5b040f156b8de08fa449c84e93c779,4,Heating controls (thermostatic radiator valves),Heating controls (TRVs),13,Upgrading heating controls,£350,£450
02c8cdfac87a83616bd761168bda136e3887461a4bf2c0e764d259589ab666cc,2,Heating controls (room thermostat),Heating controls (room thermostat),14,Upgrade heating controls,£350,£450
09f4df83d2bd239f54834f642124f94d4d6cfb654f9b818671d02836f4c8a3bd,4,Heating controls (programmer and TRVs),Heating controls (programmer and TRVs),15,Upgrade heating controls,£350,£450
07d9cb19ad607d4ac56492fc54e99c664bb31c3df6ef03a295e97f06930f7fa8,3,Heating controls (time and temperature zone control),Heating controls (zone control),16,Time and temperature zone control,£350,£450
00179a48ffa7daceca04e238a747ee95716cb50f847a3afef35d70e8c64cfeb5,1,Solar water heating,Solar water heating,19,Solar water heating,"£4,000","£6,000"
0023cfbdd02c180965bf643855f430022eed290bfdf1fec6d9a585eae2555517,3,Replace boiler with new condensing boiler,Condensing boiler,20,Replace boiler with new condensing boiler,"£2,200","£3,000"
